interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
Plasma Cells|pDCs|LILRB4|LAIR1,Plasma Cells,pDCs,LILRB4,LAIR1,8,-0.08931885229584925,-0.7469837593056753,0.656695451043594,0.8334157364736218,0.9551143749805018
Classical Monocytes|Plasma Cells|VCAN|CD44,Classical Monocytes,Plasma Cells,VCAN,CD44,16,-0.05720141759862517,-0.5376684359638694,0.45130851550271855,0.8333425243854176,0.9551143749805018
B Cells|Plasma Cells|S100A8|CD69,B Cells,Plasma Cells,S100A8,CD69,16,-0.05720141759862517,-0.5376684359638694,0.45130851550271855,0.8333425243854176,0.9551143749805018
Classical Monocytes|Classical Monocytes|ADAM10|CD44,Classical Monocytes,Classical Monocytes,ADAM10,CD44,31,-0.039238726909347196,-0.38818740634232984,0.3195504018085563,0.8339997625601858,0.9556155590707213
NK Cells|CD4 T Cells|HMGB1|CXCR4,NK Cells,CD4 T Cells,HMGB1,CXCR4,31,0.039238726909347196,-0.3195504018085563,0.38818740634232984,0.8339997625601858,0.9556155590707213
NK Cells|Plasma Cells|GNAS|ADCY7,NK Cells,Plasma Cells,GNAS,ADCY7,11,0.07167277238512448,-0.5519412669997019,0.6438724545876744,0.8341270002577137,0.955677298334139
pDCs|Non-classical Monocytes|GNAI2|S1PR4,pDCs,Non-classical Monocytes,GNAI2,S1PR4,20,0.04990363016217697,-0.40149059190910313,0.48179167282106,0.8344988405289072,0.9560192485412067
Plasma Cells|B Cells|CALM1|PTPRA,Plasma Cells,B Cells,CALM1,PTPRA,10,0.07602401471090167,-0.5814426152844112,0.673423535324696,0.8346553098337945,0.9561144268455706
Classical Monocytes|cDCs|LRPAP1|SORL1,Classical Monocytes,cDCs,LRPAP1,SORL1,25,0.043799392816461204,-0.35752560156555424,0.4314694260015035,0.8353191465231625,0.9566225246926654
pDCs|pDCs|PKM|CD44,pDCs,pDCs,PKM,CD44,20,0.049679643818347094,-0.40167892281512846,0.4816192327864781,0.8352319093043138,0.9566225246926654
pDCs|pDCs|CD48|CD2,pDCs,pDCs,CD48,CD2,10,-0.07572281660192284,-0.6732579434756943,0.5816431047442211,0.8353028671485615,0.9566225246926654
CD4 T Cells|CD8 T Cells|ADAM10|CD44,CD4 T Cells,CD8 T Cells,ADAM10,CD44,9,-0.08120844683762023,-0.7071971381329951,0.6161524020050416,0.835469999985594,0.9567111857090902
pDCs|cDCs|IL16|CCR5,pDCs,cDCs,IL16,CCR5,7,0.09709195467257717,-0.7077200638202498,0.7922324818173804,0.8359473848544375,0.9569214067202892
pDCs|NK Cells|GRN|TNFRSF1A,pDCs,NK Cells,GRN,TNFRSF1A,12,0.06714158181032086,-0.5270780933764424,0.6172660133129031,0.8357578908871375,0.9569214067202892
CD4 T Cells|CD8 T Cells|GNAS|PTGDR,CD4 T Cells,CD8 T Cells,GNAS,PTGDR,11,-0.07089971635974943,-0.6434173465447663,0.5524813338410632,0.8358950271512714,0.9569214067202892
Non-classical Monocytes|IFN-stimulated T Cells|LCK|CD8A_CD8B,Non-classical Monocytes,IFN-stimulated T Cells,LCK,CD8A_CD8B,7,-0.09709195467257717,-0.7922324818173804,0.7077200638202498,0.8359473848544375,0.9569214067202892
Non-classical Monocytes|CD8 T Cells|IL1B|SIGIRR,Non-classical Monocytes,CD8 T Cells,IL1B,SIGIRR,31,-0.03863569732740562,-0.3876743490602929,0.32009257202004066,0.8365165045158802,0.9572993750215909
