interaction_id,source,target,ligand_complex,receptor_complex,n_patients,spearman_rho,spearman_ci95_low,spearman_ci95_high,p_value,fdr_q_value
CD8 T Cells|Classical Monocytes|ARPC5|LDLR,CD8 T Cells,Classical Monocytes,ARPC5,LDLR,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
Non-classical Monocytes|NK Cells|PSEN1|CD44,Non-classical Monocytes,NK Cells,PSEN1,CD44,7,-0.792824967172092,-0.967966815790754,-0.09866983040838241,0.03344354374054152,0.6028169555548537
Classical Monocytes|Non-classical Monocytes|LRPAP1|SORL1,Classical Monocytes,Non-classical Monocytes,LRPAP1,SORL1,6,0.8574929257125441,0.15102494185908122,0.9841661563592792,0.029015363531383804,0.6028169555548537
Classical Monocytes|CD8 T Cells|CD48|CD2,Classical Monocytes,CD8 T Cells,CD48,CD2,7,0.8288624656799143,0.20168747528590764,0.9739810351092203,0.021173515581004283,0.6028169555548537
CD8 T Cells|NK Cells|GNAI2|S1PR4,CD8 T Cells,NK Cells,GNAI2,S1PR4,7,0.7753617031753556,0.0535825905505568,0.964978276153587,0.040531570209974783,0.6028169555548537
CD8 T Cells|CD4 T Cells|SPON2|ITGB1,CD8 T Cells,CD4 T Cells,SPON2,ITGB1,5,-0.9746794344808964,-0.9983972870630408,-0.6597342472130808,0.0048182304681985335,0.6028169555548537
CD8 T Cells|NK Cells|ACTR2|ADRB2,CD8 T Cells,NK Cells,ACTR2,ADRB2,5,0.9176629354822471,0.18590410548666542,0.9946434459365898,0.028008456010146135,0.6028169555548537
pDCs|B Cells|LGALS9|CD44,pDCs,B Cells,LGALS9,CD44,7,-0.8648999641877367,-0.9797975739037158,-0.32074165423011425,0.011965034552489668,0.6028169555548537
CD4 T Cells|Classical Monocytes|HLA-DPB1|CD4,CD4 T Cells,Classical Monocytes,HLA-DPB1,CD4,7,0.8227533512074424,0.1831891585374,0.9729756861435648,0.023033715770889803,0.6028169555548537
CD4 T Cells|Classical Monocytes|HMGB1|TLR2,CD4 T Cells,Classical Monocytes,HMGB1,TLR2,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
CD4 T Cells|Classical Monocytes|ICAM2|ITGAL_ITGB2,CD4 T Cells,Classical Monocytes,ICAM2,ITGAL_ITGB2,7,0.7753617031753556,0.0535825905505568,0.964978276153587,0.040531570209974783,0.6028169555548537
B Cells|CD8 T Cells|LRPAP1|SORL1,B Cells,CD8 T Cells,LRPAP1,SORL1,7,0.7952427724875442,0.10514519119824904,0.9683767074236102,0.03252158717676526,0.6028169555548537
CD8 T Cells|CD8 T Cells|HLA-DPA1|LAG3,CD8 T Cells,CD8 T Cells,HLA-DPA1,LAG3,7,0.8829187134416479,0.3875000022962168,0.982634733999806,0.008450342381896615,0.6028169555548537
pDCs|Classical Monocytes|HLA-DPB1|CD4,pDCs,Classical Monocytes,HLA-DPB1,CD4,7,-0.792824967172092,-0.967966815790754,-0.09866983040838241,0.03344354374054152,0.6028169555548537
Classical Monocytes|CD8 T Cells|APP|CD74,Classical Monocytes,CD8 T Cells,APP,CD74,7,0.8108437164260032,0.14838365380415272,0.9709992600551484,0.026916328843161995,0.6028169555548537
Classical Monocytes|Non-classical Monocytes|HMGB1|HAVCR2,Classical Monocytes,Non-classical Monocytes,HMGB1,HAVCR2,7,-0.8468812149338255,-0.9769134003812925,-0.2589847298219967,0.01619712746787163,0.6028169555548537
Classical Monocytes|Non-classical Monocytes|HMGB1|TLR2,Classical Monocytes,Non-classical Monocytes,HMGB1,TLR2,7,-0.8829187134416479,-0.982634733999806,-0.3875000022962168,0.008450342381896615,0.6028169555548537
Classical Monocytes|Non-classical Monocytes|ICAM1|ITGAM_ITGB2,Classical Monocytes,Non-classical Monocytes,ICAM1,ITGAM_ITGB2,7,-0.8946481190484872,-0.9844568795390815,-0.4339405345379386,0.0065327752258383925,0.6028169555548537
Classical Monocytes|Non-classical Monocytes|ICAM2|ITGAL_ITGB2,Classical Monocytes,Non-classical Monocytes,ICAM2,ITGAL_ITGB2,5,0.8944271909999159,0.05764221532322225,0.9930531144436808,0.04051932635383402,0.6028169555548537
Classical Monocytes|Non-classical Monocytes|ICAM2|ITGAM_ITGB2,Classical Monocytes,Non-classical Monocytes,ICAM2,ITGAM_ITGB2,5,-0.8944271909999159,-0.9930531144436808,-0.05764221532322225,0.04051932635383402,0.6028169555548537
Non-classical Monocytes|Classical Monocytes|SELPLG|SELL,Non-classical Monocytes,Classical Monocytes,SELPLG,SELL,7,0.792824967172092,0.09866983040838241,0.967966815790754,0.03344354374054152,0.6028169555548537
